symbol,timeframe,sl,tp,rsi_buy,rsi_sell,use_candlestick,win_rate,net_pips,profit_factor,num_trades,rr_ratio
EURUSDm,M15,15.0,8.0,45-60,40-55,True,72.3404255319149,308.0,1.3948717948717948,188,0.5333333333333333
EURUSDm,M15,10.0,4.0,45-65,35-55,False,72.33676975945016,74.0,1.0459627329192547,582,0.4
EURUSDm,M15,15.0,6.0,40-60,40-60,False,72.12713936430319,60.0,1.0350877192982457,409,0.4
EURUSDm,M30,12.0,4.0,45-65,35-55,False,72.11796246648794,-172.0,0.8621794871794872,373,0.3333333333333333
EURUSDm,M30,10.0,4.0,40-60,40-60,True,72.0,14.0,1.0285714285714285,175,0.4
EURUSDm,M15,12.0,5.0,50-70,30-50,False,71.78502879078695,106.0,1.060090702947846,521,0.4166666666666667
EURUSDm,M15,12.0,7.0,40-60,40-60,True,71.75925925925925,353.0,1.4822404371584699,216,0.5833333333333334
EURUSDm,M30,15.0,7.0,45-60,40-55,False,71.7557251908397,206.0,1.1855855855855857,262,0.4666666666666667
EURUSDm,M30,15.0,7.0,40-60,40-60,False,71.67235494880546,225.0,1.180722891566265,293,0.4666666666666667
EURUSDm,M15,12.0,7.0,45-60,40-55,True,71.64948453608247,313.0,1.4742424242424241,194,0.5833333333333334
EURUSDm,M15,15.0,8.0,40-60,40-60,True,71.63461538461539,307.0,1.3468926553672316,208,0.5333333333333333
EURUSDm,M15,10.0,4.0,50-70,30-50,False,71.5034965034965,6.0,1.003680981595092,572,0.4
EURUSDm,M15,10.0,4.0,40-60,40-60,False,71.37096774193549,-4.0,0.9971830985915493,496,0.4
EURUSDm,M30,10.0,4.0,50-70,30-50,True,71.35135135135135,-2.0,0.9962264150943396,185,0.4
EURUSDm,M30,15.0,7.0,45-60,40-55,True,71.23287671232876,98.0,1.1555555555555554,146,0.4666666666666667
EURUSDm,M15,12.0,5.0,40-60,40-60,False,71.17516629711751,45.0,1.0288461538461537,451,0.4166666666666667
EURUSDm,M30,15.0,7.0,50-70,30-50,True,71.09826589595376,111.0,1.148,173,0.4666666666666667
EURUSDm,M30,15.0,7.0,40-60,40-60,True,71.0691823899371,101.0,1.1463768115942028,159,0.4666666666666667
EURUSDm,M30,15.0,7.0,50-70,30-50,False,71.06109324758843,197.0,1.145925925925926,311,0.4666666666666667
EURUSDm,M30,10.0,4.0,45-60,40-55,True,70.96774193548387,-10.0,0.9777777777777777,155,0.4
EURUSDm,M30,10.0,4.0,40-60,40-60,False,70.76023391812866,-32.0,0.968,342,0.4
EURUSDm,M15,15.0,6.0,50-70,30-50,False,70.73684210526315,-69.0,0.9669064748201439,475,0.4
EURUSDm,M15,9.0,5.0,45-60,40-55,True,70.67307692307693,186.0,1.3387978142076502,208,0.5555555555555556
EURUSDm,M15,12.0,6.0,45-65,35-55,True,70.61068702290076,186.0,1.2012987012987013,262,0.5
EURUSDm,M15,9.0,5.0,45-65,35-55,True,70.60931899641577,247.0,1.334688346883469,279,0.5555555555555556
EURUSDm,M15,9.0,5.0,50-70,30-50,True,70.47970479704797,235.0,1.3263888888888888,271,0.5555555555555556
EURUSDm,M30,12.0,6.0,40-60,40-60,True,70.41420118343196,114.0,1.19,169,0.5
EURUSDm,M30,12.0,6.0,50-70,30-50,True,70.39106145251397,120.0,1.1886792452830188,179,0.5
EURUSDm,M30,9.0,4.0,45-60,40-55,True,70.3225806451613,22.0,1.0531400966183575,155,0.4444444444444444
EURUSDm,M30,9.0,4.0,40-60,40-60,True,70.28571428571428,24.0,1.0512820512820513,175,0.4444444444444444
EURUSDm,M15,12.0,6.0,50-70,30-50,True,70.27027027027027,168.0,1.1818181818181819,259,0.5
EURUSDm,M15,15.0,8.0,45-65,35-55,True,70.20408163265306,281.0,1.25662100456621,245,0.5333333333333333
EURUSDm,M30,12.0,6.0,50-70,30-50,False,70.18072289156626,210.0,1.1767676767676767,332,0.5
EURUSDm,M30,15.0,8.0,50-70,30-50,True,70.17543859649122,195.0,1.2549019607843137,171,0.5333333333333333
EURUSDm,M30,15.0,7.0,45-65,35-55,True,70.11494252873564,74.0,1.094871794871795,174,0.4666666666666667
EURUSDm,M30,15.0,7.0,45-65,35-55,False,70.0,128.0,1.0888888888888888,320,0.4666666666666667
