timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M15,15.0,30.0,2.0,30-70,30-70,False,34.285714285714285,350,533.4397482675879,6.68794965351758,26.557187325520072
M30,10.0,20.0,2.0,40-60,40-60,True,35.03184713375796,157,533.0516600580492,6.61033201160983,9.93837072528149
H1,15.0,37.5,2.5,40-60,40-60,True,32.6530612244898,49,532.7375048809196,6.5475009761839145,6.096392068025172
H1,6.0,15.0,2.5,40-60,40-60,True,32.142857142857146,56,532.2761122092918,6.455222441858359,5.851985059900004
H1,6.0,15.0,2.5,40-60,40-60,False,30.215827338129497,139,532.0913842138793,6.418276842775867,12.301128088612518
M15,6.0,10.8,1.8,45-60,40-55,False,36.556603773584904,424,531.7933976975531,6.358679539510627,24.923999276599854
M30,15.0,37.5,2.5,40-60,40-60,False,29.84293193717277,191,531.3080642639788,6.2616128527957695,9.145550649096727
H1,15.0,30.0,2.0,30-70,30-70,True,35.869565217391305,92,531.1927681210171,6.238553624203428,8.920138623398786
M30,10.0,18.0,1.8,40-60,40-60,False,36.84210526315789,266,530.8415893592844,6.16831787185688,15.999464787980584
M15,6.0,15.0,2.5,45-60,40-55,True,29.756097560975608,205,530.3881534674288,6.0776306934857525,16.38217465032694
M30,12.0,30.0,2.5,45-60,40-55,False,29.71698113207547,212,529.92879551931,5.985759103862006,14.927965845004012
M30,10.0,18.0,1.8,40-60,40-60,True,37.34177215189873,158,529.630725039049,5.926145007809805,9.901228350225878
H1,15.0,30.0,2.0,40-60,40-60,True,37.254901960784316,51,528.079726643179,5.615945328635803,5.851985059900005
M30,10.0,15.0,1.5,45-60,40-55,True,41.843971631205676,141,527.9009627515302,5.5801925503060374,9.39450671376206
M15,15.0,37.5,2.5,45-60,40-55,False,29.527559055118108,254,527.18099042542,5.436198085083993,17.50476228172106
H1,6.0,18.0,3.0,45-60,40-55,True,28.26086956521739,46,527.0057421470569,5.401148429411387,6.793465209300982
M30,10.0,25.0,2.5,45-60,40-55,False,29.565217391304348,230,526.1315867103209,5.226317342064181,21.70401620464886
M15,6.0,10.8,1.8,45-60,40-55,True,36.84210526315789,209,524.0763928839532,4.815278576790638,13.949851472000324
M30,15.0,45.0,3.0,30-70,30-70,False,25.833333333333336,240,522.3271185369326,4.465423707386526,15.856749794933958
M30,15.0,45.0,3.0,40-60,40-60,False,25.945945945945947,185,521.4089121511445,4.281782430228896,9.989243045804486
H1,8.0,24.0,3.0,40-60,40-60,True,27.27272727272727,55,521.1181012388375,4.223620247767508,7.725530557208001
M30,8.0,20.0,2.5,40-60,40-60,True,29.629629629629626,162,520.1489513495055,4.029790269901104,11.744688116868526
M30,12.0,18.0,1.5,30-70,30-70,True,41.06280193236715,207,520.0886023855279,4.0177204771055814,14.315039300039478
M15,8.0,12.0,1.5,40-60,40-60,False,40.66193853427896,423,519.4731620656362,3.894632413127238,24.75498732433491
M15,12.0,24.0,2.0,40-60,40-60,False,34.06940063091483,317,519.4505680247338,3.8901136049467593,22.95617864308415
H1,6.0,9.0,1.5,40-60,40-60,True,42.857142857142854,56,518.1807144225006,3.636142884500123,5.395367187440512
M15,12.0,18.0,1.5,40-60,40-60,False,40.707964601769916,339,517.5567163811396,3.511343276227922,18.877435814849893
H1,10.0,20.0,2.0,40-60,40-60,True,35.714285714285715,56,517.4167039428347,3.483340788566943,5.851985059900003
M30,10.0,20.0,2.0,40-60,40-60,False,34.099616858237546,261,517.1764752183602,3.4352950436720446,17.702623702930474
H1,10.0,30.0,3.0,40-60,40-60,True,26.785714285714285,56,515.9069202264494,3.1813840452898834,7.725530557207996
M30,6.0,15.0,2.5,45-60,40-55,False,29.24187725631769,277,515.3487680434866,3.0697536086973285,28.47526839424703
M30,12.0,36.0,3.0,45-60,40-55,False,25.742574257425744,202,514.9734968731582,2.9946993746316366,14.552607884341743
M30,12.0,24.0,2.0,30-70,30-70,False,33.98692810457516,306,514.8695125230782,2.973902504615648,24.399274897643476
M15,6.0,10.8,1.8,40-60,40-60,False,36.247334754797436,469,514.0619379489112,2.8123875897822472,27.646221635623906
M30,12.0,24.0,2.0,40-60,40-60,False,34.05172413793103,232,513.5329882307877,2.7065976461575474,18.477017007604704
H1,12.0,30.0,2.5,40-60,40-60,False,29.508196721311474,122,512.4551875560028,2.4910375112005565,13.949486587415002
H1,8.0,20.0,2.5,45-60,40-55,True,30.434782608695656,46,512.1891177146069,2.4378235429213873,6.874189415324174
M30,10.0,15.0,1.5,40-60,40-60,True,40.88050314465409,159,511.64771945520965,2.3295438910419306,10.267027292871731
H1,6.0,10.8,1.8,40-60,40-60,True,37.5,56,511.5701001763785,2.3140200352757008,5.3300152018763205
H1,15.0,45.0,3.0,40-60,40-60,True,26.53061224489796,49,511.3531445995471,2.270628919909416,7.83475672333908
