timeframe,sl,tp,grid_step,multiplier,max_legs,target_profit,rsi_buy,rsi_sell,use_candlestick,win_rate,num_baskets,final_balance,net_roi,max_drawdown
M15,30.0,15.0,15.0,2.0,4,2.0,45-60,40-55,True,96.29629629629629,162,640.1708611295486,28.03417222590972,12.623999999999972
M15,30.0,20.0,15.0,2.0,4,2.0,45-60,40-55,True,95.54140127388536,157,597.2317902974164,19.44635805948328,22.03751020823621
M30,20.0,20.0,10.0,2.0,4,2.0,45-60,40-55,True,79.38931297709924,131,579.5775609805547,15.915512196110946,3.06277024209347
M15,30.0,20.0,10.0,2.0,3,2.0,45-60,40-55,True,95.15151515151516,165,578.5197472979175,15.70394945958351,6.999674844777837
M15,30.0,15.0,10.0,2.0,3,2.0,45-60,40-55,True,95.83333333333334,168,573.0984026873302,14.619680537466047,7.646149223337853
M15,30.0,20.0,10.0,1.5,3,2.0,45-60,40-55,True,93.90243902439023,164,568.3645362057521,13.672907241150414,4.797720531258534
M30,30.0,20.0,20.0,2.0,4,4.0,30-70,30-70,False,83.77192982456141,228,561.9426575973732,12.388531519474645,21.477790684938647
M30,20.0,15.0,10.0,2.0,4,2.0,45-60,40-55,True,80.59701492537313,134,558.3015187237818,11.660303744756357,4.073980247069257
M15,30.0,15.0,10.0,1.5,3,2.0,45-60,40-55,True,94.61077844311377,167,556.3666523695199,11.273330473903979,5.176163225992562
H1,30.0,20.0,10.0,1.5,4,2.0,30-70,30-70,False,89.937106918239,159,538.8747693351628,7.7749538670325595,11.292465547582285
M30,30.0,15.0,20.0,2.0,3,4.0,45-60,40-55,True,85.71428571428571,119,538.7816851898045,7.756337037960908,10.660846256171453
H1,30.0,15.0,10.0,2.0,4,2.0,45-60,40-55,True,92.85714285714286,42,537.7674503032682,7.553490060653643,0.6035784000000278
H1,30.0,15.0,10.0,1.5,4,4.0,30-70,30-70,False,90.9090909090909,165,537.6013566633529,7.520271332670586,17.640487100324982
M15,15.0,20.0,20.0,2.0,3,4.0,45-60,40-55,True,48.8235294117647,170,536.2248551758048,7.244971035160962,1.8999642959677394
M15,15.0,20.0,15.0,1.5,4,4.0,45-60,40-55,True,48.8235294117647,170,536.2248551758048,7.244971035160962,1.8999642959677394
M15,15.0,20.0,15.0,1.5,3,2.0,45-60,40-55,True,48.8235294117647,170,536.2248551758048,7.244971035160962,1.8999642959677394
M15,15.0,20.0,15.0,1.5,3,4.0,45-60,40-55,True,48.8235294117647,170,536.2248551758048,7.244971035160962,1.8999642959677394
M15,15.0,20.0,15.0,1.5,4,2.0,45-60,40-55,True,48.8235294117647,170,536.2248551758048,7.244971035160962,1.8999642959677394
